Dataset,Demographic,ε=0.01,ε=0.05,ε=0.1,ε=0.15,ε=0.2
BFW,black_males,88,88,38,0,0
BFW,asian_males,75,38,0,0,0
BFW,indian_females,0,0,0,0,0
BFW,indian_males,0,0,0,0,0
BFW,white_males,38,0,0,0,0
BFW,black_females,0,0,0,0,0
BFW,asian_females,100,88,50,0,0
BFW,white_females,38,0,0,0,0
BFW,MEAN,38,0,0,0,0
DemogPairs,black_males,100,100,100,83,83
DemogPairs,asian_males,50,17,17,0,0
DemogPairs,indian_females,0,0,0,0,0
DemogPairs,indian_males,83,83,67,33,17
DemogPairs,white_males,17,17,17,0,0
DemogPairs,black_females,33,17,17,0,0
DemogPairs,asian_females,67,50,17,17,0
RFW,black_males,25,0,0,0,0
RFW,asian_males,75,25,0,0,0
RFW,indian_females,0,0,0,0,0
RFW,indian_males,75,25,0,0,0
RFW,white_males,25,0,0,0,0
CelebA,black_males,100,100,50,50,0
CelebA,asian_males,0,0,0,0,0
CelebA,indian_females,50,50,0,0,0
