Dataset,Demographic,ε=0.02,ε=0.05,ε=0.1,ε=0.15,ε=0.2
BFW,black_males,0,0,0,0,0
BFW,asian_males,88,50,25,0,0
BFW,indian_females,0,0,0,0,0
BFW,indian_males,50,25,0,0,0
BFW,white_males,100,100,75,38,0
BFW,black_females,25,0,0,0,0
BFW,asian_females,50,38,0,0,0
BFW,white_females,25,12,0,0,0
BFW,MEAN,50,25,0,0,0
,,43,28,11,4,0
DemogPairs,black_males,0,0,0,0,0
DemogPairs,asian_males,33,33,17,17,0
DemogPairs,indian_females,67,67,50,33,17
DemogPairs,indian_males,17,17,0,0,0
DemogPairs,white_males,67,67,33,33,17
DemogPairs,black_females,67,67,50,33,17
DemogPairs,asian_females,33,33,17,17,0
,,40,40,24,19,7
