""
gender
,BFW,DemogPairs,,,mean
DP1,"[75, 61, 46, 18, 18]","[93, 67, 40, 27, 13]",,,"[[84, 64, 43, 22, 16]]"
DP2,"[82, 71, 46, 39, 25]","[73, 53, 53, 33, 0]",,,"[[78, 62, 50, 36, 12]]"
CIAGAN,"[93, 86, 75, 64, 64]","[100, 87, 73, 60, 60]",,,"[[96, 86, 74, 62, 62]]"
mean,"[[83, 73, 56, 40, 36]]","[[89, 69, 55, 40, 24]]"
emotion
,BFW,DemogPairs,,,mean
DP1,"[93, 79, 64, 57, 39]","[87, 87, 80, 53, 53]",,,"[[90, 83, 72, 55, 46]]"
DP2,"[82, 79, 43, 21, 0]","[100, 93, 67, 53, 27]",,,"[[91, 86, 55, 37, 14]]"
CIAGAN,"[86, 64, 36, 7, 4]","[87, 60, 47, 7, 7]",,,"[[86, 62, 42, 7, 6]]"
mean,"[[87, 74, 48, 28, 14]]","[[91, 80, 65, 38, 29]]"
mouthstatus
,BFW,DemogPairs,,,mean
DP1,"[96, 79, 57, 36, 14]","[80, 60, 53, 27, 20]",,,"[[88, 70, 55, 32, 17]]"
DP2,"[93, 75, 46, 29, 21]","[100, 87, 60, 33, 20]",,,"[[96, 81, 53, 31, 20]]"
CIAGAN,"[82, 75, 43, 43, 21]","[93, 67, 53, 27, 7]",,,"[[88, 71, 48, 35, 14]]"
mean,"[[90, 76, 49, 36, 19]]","[[91, 71, 55, 29, 16]]"
eyestatus
,BFW,DemogPairs,,,mean
DP1,"[96, 89, 82, 68, 57]","[100, 80, 67, 40, 27]",,,"[[98, 84, 74, 54, 42]]"
DP2,"[93, 93, 71, 46, 29]","[93, 73, 67, 33, 13]",,,"[[93, 83, 69, 40, 21]]"
CIAGAN,"[96, 79, 71, 43, 39]","[100, 93, 87, 73, 53]",,,"[[98, 86, 79, 58, 46]]"
mean,"[[95, 87, 75, 52, 42]]","[[98, 82, 74, 49, 31]]"
age
,BFW,DemogPairs,,,mean
DP1,"[43, 0, 0, 0, 0]","[47, 0, 0, 0, 0]",,,"[[45, 0, 0, 0, 0]]"
DP2,"[39, 0, 0, 0, 0]","[40, 0, 0, 0, 0]",,,"[[40, 0, 0, 0, 0]]"
CIAGAN,"[82, 68, 36, 11, 7]","[73, 47, 0, 0, 0]",,,"[[78, 58, 18, 6, 4]]"
mean,"[[55, 23, 12, 4, 2]]","[[53, 16, 0, 0, 0]]"
headpose
,BFW,DemogPairs,,,mean
DP1,"[89, 68, 50, 36, 25]","[73, 33, 7, 0, 0]",,,"[[81, 50, 28, 18, 12]]"
DP2,"[93, 75, 50, 25, 11]","[60, 20, 0, 0, 0]",,,"[[76, 48, 25, 12, 6]]"
CIAGAN,"[82, 46, 21, 0, 0]","[73, 33, 33, 27, 0]",,,"[[78, 40, 27, 14, 0]]"
mean,"[[88, 63, 40, 20, 12]]","[[69, 29, 13, 9, 0]]"
blur
,BFW,DemogPairs,,,mean
DP1,"[68, 18, 0, 0, 0]","[87, 73, 53, 20, 7]",,,"[[78, 46, 26, 10, 4]]"
DP2,"[57, 43, 4, 0, 0]","[93, 53, 27, 0, 0]",,,"[[75, 48, 16, 0, 0]]"
CIAGAN,"[86, 64, 29, 11, 4]","[93, 87, 53, 40, 13]",,,"[[90, 76, 41, 26, 8]]"
mean,"[[70, 42, 11, 4, 1]]","[[91, 71, 44, 20, 7]]"
