
gender
,BFW,,,,,,,,DemogPairs,,,,,
,white_females,indian_females,black_males,asian_females,indian_males,black_females,white_males,asian_males,White_Females,Asian_Females,White_Males,Black_Males,Black_Females,Asian_Males
DP1,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[5, 5, 1, 0, 0]]","[[6, 5, 5, 0, 0]]","[[7, 7, 7, 5, 5]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 1, 0, 0, 0]]","[[2, 2, 0, 0, 0]]","[[4, 2, 1, 0, 0]]","[[5, 5, 5, 4, 2]]"
,asian_females,black_males,indian_females,indian_males,white_males,white_females,black_females,asian_males,Black_Males,White_Females,White_Males,Asian_Females,Black_Females,Asian_Males
DP2,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[3, 1, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[4, 3, 0, 0, 0]]","[[6, 6, 6, 4, 1]]","[[7, 7, 7, 7, 6]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[4, 4, 4, 1, 0]]","[[5, 4, 4, 4, 0]]"
,asian_females,indian_females,white_females,black_females,black_males,white_males,indian_males,asian_males,White_Females,Asian_Females,Black_Females,White_Males,Black_Males,Asian_Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[4, 4, 4, 4, 4]]","[[4, 4, 4, 4, 4]]","[[6, 6, 6, 4, 4]]","[[7, 7, 7, 6, 6]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 2, 0, 0, 0]]","[[3, 3, 3, 3, 3]]","[[4, 3, 3, 3, 3]]","[[5, 5, 5, 3, 3]]"
emotion
,BFW,,,,,,,,DemogPairs,,,,,
,white_females,indian_females,asian_females,black_females,white_males,indian_males,black_males,asian_males,Black_Females,White_Females,Asian_Females,White_Males,Asian_Males,Black_Males
DP1,"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 1, 0, 0, 0]]","[[3, 3, 2, 1, 0]]","[[4, 4, 4, 3, 2]]","[[5, 4, 4, 4, 3]]","[[5, 5, 4, 4, 3]]","[[6, 5, 4, 4, 3]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[2, 2, 1, 0, 0]]","[[3, 3, 3, 2, 2]]","[[4, 4, 4, 3, 3]]","[[4, 4, 4, 3, 3]]"
,indian_females,black_females,asian_females,white_females,asian_males,white_males,black_males,indian_males,White_Females,Black_Females,Asian_Females,White_Males,Asian_Males,Black_Males
DP2,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[5, 5, 3, 0, 0]]","[[5, 5, 4, 3, 0]]","[[7, 6, 5, 3, 0]]","[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[2, 1, 1, 0, 0]]","[[3, 3, 1, 1, 0]]","[[4, 4, 4, 3, 1]]","[[5, 5, 4, 4, 3]]"
,white_females,asian_males,indian_females,asian_females,black_females,white_males,indian_males,black_males,White_Females,White_Males,Black_Females,Black_Males,Asian_Males,Asian_Females
CIAGAN,"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 2, 0, 0, 0]]","[[2, 2, 0, 0, 0]]","[[3, 2, 1, 0, 0]]","[[3, 2, 1, 0, 0]]","[[6, 3, 2, 0, 0]]","[[7, 7, 6, 2, 1]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 0, 0]]","[[1, 1, 1, 0, 0]]","[[3, 1, 1, 0, 0]]","[[3, 1, 1, 0, 0]]","[[5, 5, 3, 1, 1]]"
mouthstatus
,BFW,,,,,,,,DemogPairs,,,,,
,white_females,asian_females,black_females,indian_females,white_males,asian_males,black_males,indian_males,Black_Females,White_Females,Asian_Females,White_Males,Asian_Males,Black_Males
DP1,"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[3, 1, 1, 0, 0]]","[[4, 3, 1, 0, 0]]","[[5, 4, 3, 1, 0]]","[[6, 6, 5, 4, 1]]","[[7, 6, 6, 5, 3]]","[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[2, 2, 2, 1, 0]]","[[3, 2, 2, 1, 1]]","[[3, 2, 2, 1, 1]]","[[3, 2, 2, 1, 1]]"
,asian_males,asian_females,white_males,indian_females,white_females,black_females,indian_males,black_males,Black_Females,White_Females,Asian_Females,White_Males,Asian_Males,Black_Males
DP2,"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 2, 1, 0, 0]]","[[2, 2, 1, 0, 0]]","[[4, 2, 1, 0, 0]]","[[4, 2, 1, 0, 0]]","[[6, 6, 2, 1, 0]]","[[7, 7, 7, 7, 6]]","[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[2, 1, 1, 0, 0]]","[[3, 3, 2, 1, 0]]","[[4, 3, 2, 1, 1]]","[[5, 5, 4, 3, 2]]"
,white_females,indian_females,asian_males,black_females,white_males,asian_females,indian_males,black_males,White_Females,White_Males,Black_Females,Asian_Males,Asian_Females,Black_Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[4, 3, 0, 0, 0]]","[[6, 6, 6, 6, 3]]","[[7, 6, 6, 6, 3]]","[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[2, 1, 1, 0, 0]]","[[2, 1, 1, 0, 0]]","[[4, 2, 1, 0, 0]]","[[5, 5, 5, 4, 1]]"
eyestatus
,BFW,,,,,,,,DemogPairs,,,,,
,asian_females,white_females,indian_females,black_females,asian_males,white_males,indian_males,black_males,White_Females,Asian_Females,Black_Females,White_Males,Asian_Males,Black_Males
DP1,"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 1, 0, 0, 0]]","[[3, 3, 3, 1, 0]]","[[4, 4, 3, 3, 3]]","[[4, 4, 4, 3, 3]]","[[6, 6, 6, 6, 4]]","[[7, 7, 7, 6, 6]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 2, 1, 0, 0]]","[[3, 2, 2, 0, 0]]","[[4, 3, 2, 1, 0]]","[[5, 5, 5, 5, 4]]"
,asian_females,white_females,indian_females,asian_males,black_females,white_males,indian_males,black_males,White_Females,Asian_Females,Black_Females,White_Males,Asian_Males,Black_Males
DP2,"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[2, 2, 1, 0, 0]]","[[3, 3, 2, 1, 0]]","[[3, 3, 2, 1, 1]]","[[5, 5, 5, 3, 2]]","[[5, 5, 5, 3, 2]]","[[7, 7, 5, 5, 3]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 2, 1, 0, 0]]","[[2, 2, 2, 0, 0]]","[[4, 2, 2, 0, 0]]","[[5, 5, 5, 5, 2]]"
,white_females,asian_females,indian_females,asian_males,indian_males,white_males,black_females,black_males,White_Females,Asian_Females,White_Males,Asian_Males,Black_Females,Black_Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[1, 1, 1, 0, 0]]","[[2, 1, 1, 0, 0]]","[[3, 3, 2, 1, 1]]","[[4, 3, 3, 1, 1]]","[[4, 3, 3, 1, 1]]","[[6, 4, 3, 2, 1]]","[[7, 7, 7, 7, 7]]","[[0, 0, 0, 0, 0]]","[[1, 1, 1, 0, 0]]","[[2, 1, 1, 1, 0]]","[[3, 3, 3, 2, 1]]","[[4, 4, 3, 3, 2]]","[[5, 5, 5, 5, 5]]"
age
,BFW,,,,,,,,DemogPairs,,,,,
,indian_males,black_males,white_females,indian_females,black_females,asian_females,white_males,asian_males,Asian_Females,White_Females,Black_Males,White_Males,Asian_Males,Black_Females
DP1,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[7, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]"
,white_males,black_males,indian_males,black_females,indian_females,white_females,asian_females,asian_males,Black_Males,White_Males,White_Females,Asian_Females,Black_Females,Asian_Males
DP2,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]"
,indian_females,asian_females,black_females,white_females,black_males,asian_males,indian_males,white_males,White_Females,Black_Females,Asian_Females,Black_Males,Asian_Males,White_Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[4, 3, 0, 0, 0]]","[[6, 3, 3, 0, 0]]","[[7, 7, 7, 3, 2]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]","[[4, 3, 0, 0, 0]]","[[4, 4, 0, 0, 0]]"
headpose
,BFW,,,,,,,,DemogPairs,,,,,
,asian_females,white_females,indian_females,asian_males,white_males,black_females,indian_males,black_males,Asian_Females,White_Females,Asian_Males,White_Males,Black_Females,Black_Males
