total means:
gender
,BFW,DemogPairs
DP1,71.4,85.5
DP2,76.5,84.4
CIAGAN,67.1,65.0
emotion
,BFW,DemogPairs
DP1,34.2,48.9
DP2,36.7,48.6
CIAGAN,47.3,45.9
mouthstatus
,BFW,DemogPairs
DP1,41.4,54.2
DP2,38.2,51.3
CIAGAN,66.4,62.4
eyestatus
,BFW,DemogPairs
DP1,61.7,75.2
DP2,62.3,73.1
CIAGAN,54.9,52.7
age
,BFW,DemogPairs
DP1,74.2,78.2
DP2,74.8,78.3
CIAGAN,73.6,75.5
headpose
,BFW,DemogPairs
DP1,63.9,87.4
DP2,49.2,82.6
CIAGAN,79.5,77.4
blur
,BFW,DemogPairs
DP1,34.1,42.0
DP2,39.4,46.2
CIAGAN,32.3,32.1
""
