""
pairs
,BFW,DemogPairs,,,mean
Original,"[71, 43, 25, 0, 0]","[80, 60, 27, 0, 0]",,,"[[76.0, 52.0, 26.0, 0.0, 0.0]]"
DP1,"[25, 0, 0, 0, 0]","[93, 67, 33, 13, 0]",,,"[[59.0, 34.0, 16.0, 6.0, 0.0]]"
DP2,"[54, 4, 0, 0, 0]","[80, 53, 33, 20, 0]",,,"[[67.0, 28.0, 16.0, 10.0, 0.0]]"
CIAGAN,"[89, 79, 64, 57, 43]","[93, 73, 60, 53, 33]",,,"[[91.0, 76.0, 62.0, 55.0, 38.0]]"
mean,"[[60.0, 32.0, 22.0, 14.0, 11.0]]","[[86.0, 63.0, 38.0, 22.0, 8.0]]"
race
,BFW,DemogPairs,,,mean
Original,"[50, 50, 50, 0, 0]","[100, 67, 33, 0, 0]",,,"[[75.0, 58.0, 42.0, 0.0, 0.0]]"
DP1,"[33, 0, 0, 0, 0]","[100, 100, 33, 0, 0]",,,"[[66.0, 50.0, 16.0, 0.0, 0.0]]"
DP2,"[67, 0, 0, 0, 0]","[100, 67, 67, 0, 0]",,,"[[84.0, 34.0, 34.0, 0.0, 0.0]]"
CIAGAN,"[100, 100, 83, 50, 33]","[100, 100, 67, 67, 67]",,,"[[100.0, 100.0, 75.0, 58.0, 50.0]]"
mean,"[[62.0, 38.0, 33.0, 12.0, 8.0]]","[[100.0, 84.0, 50.0, 17.0, 17.0]]"
gender
,DemogPairs,BFW,,,mean
Original,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,"[[0.0, 0.0, 0.0, 0.0, 0.0]]"
DP1,"[100, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,"[[50.0, 0.0, 0.0, 0.0, 0.0]]"
DP2,"[100, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,"[[50.0, 0.0, 0.0, 0.0, 0.0]]"
CIAGAN,"[100, 100, 100, 100, 100]","[100, 100, 100, 100, 100]",,,"[[100.0, 100.0, 100.0, 100.0, 100.0]]"
mean,"[[75.0, 25.0, 25.0, 25.0, 25.0]]","[[25.0, 25.0, 25.0, 25.0, 25.0]]"
pairs
,BFW,DemogPairs,,,mean
Original,"[71, 43, 25, 0, 0]","[80, 60, 27, 0, 0]",,,"[[76.0, 52.0, 26.0, 0.0, 0.0]]"
DP1,"[25, 0, 0, 0, 0]","[93, 67, 33, 13, 0]",,,"[[59.0, 34.0, 16.0, 6.0, 0.0]]"
DP2,"[54, 4, 0, 0, 0]","[80, 53, 33, 20, 0]",,,"[[67.0, 28.0, 16.0, 10.0, 0.0]]"
CIAGAN,"[89, 79, 64, 57, 43]","[93, 73, 60, 53, 33]",,,"[[91.0, 76.0, 62.0, 55.0, 38.0]]"
mean,"[[60.0, 32.0, 22.0, 14.0, 11.0]]","[[86.0, 63.0, 38.0, 22.0, 8.0]]"
race
,BFW,DemogPairs,,,mean
Original,"[50, 50, 50, 0, 0]","[100, 67, 33, 0, 0]",,,"[[75.0, 58.0, 42.0, 0.0, 0.0]]"
DP1,"[33, 0, 0, 0, 0]","[100, 100, 33, 0, 0]",,,"[[66.0, 50.0, 16.0, 0.0, 0.0]]"
DP2,"[67, 0, 0, 0, 0]","[100, 67, 67, 0, 0]",,,"[[84.0, 34.0, 34.0, 0.0, 0.0]]"
CIAGAN,"[100, 100, 83, 50, 33]","[100, 100, 67, 67, 67]",,,"[[100.0, 100.0, 75.0, 58.0, 50.0]]"
mean,"[[62.0, 38.0, 33.0, 12.0, 8.0]]","[[100.0, 84.0, 50.0, 17.0, 17.0]]"
Gender
