total means:
gender
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,72,77,71,78,77
,BFW,RFW,DemogPairs,CelebA,mean
DP1,69,82,79,88,83
,BFW,RFW,DemogPairs,CelebA,mean
DP2,75,82,79,87,84
emotion
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,42,39,38,49,45
,BFW,RFW,DemogPairs,CelebA,mean
DP1,28,35,42,49,42
,BFW,RFW,DemogPairs,CelebA,mean
DP2,26,34,39,45,39
race
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,30,35,27,62,50
,BFW,RFW,DemogPairs,CelebA,mean
DP1,30,45,44,61,52
,BFW,RFW,DemogPairs,CelebA,mean
DP2,31,43,44,64,52
age
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,86,84,86,86,85
,BFW,RFW,DemogPairs,CelebA,mean
DP1,84,84,86,86,85
,BFW,RFW,DemogPairs,CelebA,mean
DP2,81,84,85,86,84
