
gender
,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,black_males,white_males,indian_males,white_females,indian_females,asian_males,black_females,asian_females,African,Caucasian,Indian,Asian,Black_Males,White_Males,White_Females,Asian_Males,Black_Females,Asian_Females,Females,Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[14, 14, 14, 0, 0]]","[[14, 14, 14, 0, 0]]","[[43, 43, 14, 14, 14]]","[[43, 43, 14, 14, 14]]","[[71, 71, 43, 29, 14]]","[[71, 71, 43, 29, 14]]","[[100, 71, 71, 43, 14]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 33, 0]]","[[67, 33, 33, 33, 33]]","[[100, 100, 67, 33, 33]]","[[0, 0, 0, 0, 0]]","[[20, 20, 0, 0, 0]]","[[20, 20, 0, 0, 0]]","[[60, 60, 20, 20, 0]]","[[80, 80, 80, 60, 60]]","[[80, 80, 80, 60, 60]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]"
,black_males,indian_males,white_males,asian_males,black_females,white_females,asian_females,indian_females,African,Caucasian,Indian,Asian,Black_Males,White_Males,Asian_Males,White_Females,Asian_Females,Black_Females,Males,Females
DP1,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[29, 29, 0, 0, 0]]","[[43, 29, 0, 0, 0]]","[[57, 57, 57, 57, 57]]","[[71, 71, 71, 71, 57]]","[[86, 71, 71, 71, 57]]","[[100, 100, 86, 71, 71]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 0, 0]]","[[33, 33, 33, 0, 0]]","[[100, 100, 100, 33, 33]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[40, 40, 40, 0, 0]]","[[60, 60, 60, 40, 40]]","[[80, 80, 60, 60, 40]]","[[100, 100, 100, 80, 60]]","[[0, 0, 0, 0, 0]]","[[100, 100, 100, 0, 0]]"
,black_males,indian_males,white_males,asian_males,black_females,indian_females,asian_females,white_females,African,Indian,Caucasian,Asian,Black_Males,White_Males,Asian_Males,White_Females,Asian_Females,Black_Females,Males,Females
DP2,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[43, 43, 43, 43, 0]]","[[57, 57, 57, 57, 57]]","[[71, 57, 57, 57, 57]]","[[86, 71, 57, 57, 57]]","[[100, 86, 71, 57, 57]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 0, 0]]","[[33, 33, 33, 0, 0]]","[[100, 100, 100, 33, 33]]","[[0, 0, 0, 0, 0]]","[[20, 0, 0, 0, 0]]","[[40, 40, 40, 0, 0]]","[[60, 60, 60, 60, 40]]","[[80, 80, 60, 60, 60]]","[[100, 80, 80, 60, 60]]","[[0, 0, 0, 0, 0]]","[[100, 100, 100, 0, 0]]"
emotion
,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
,white_females,indian_females,black_females,indian_males,asian_males,white_males,asian_females,black_males,Caucasian,Indian,Asian,African,White_Females,White_Males,Black_Females,Asian_Males,Black_Males,Asian_Females,Males,Females
CIAGAN,"[[0, 0, 0, 0, 0]]","[[14, 14, 14, 14, 0]]","[[29, 14, 14, 14, 0]]","[[29, 29, 14, 14, 14]]","[[29, 29, 14, 14, 14]]","[[71, 43, 14, 14, 14]]","[[86, 71, 29, 14, 14]]","[[100, 100, 100, 100, 100]]","[[0, 0, 0, 0, 0]]","[[33, 33, 0, 0, 0]]","[[67, 33, 0, 0, 0]]","[[100, 100, 67, 33, 0]]","[[0, 0, 0, 0, 0]]","[[20, 20, 0, 0, 0]]","[[20, 20, 0, 0, 0]]","[[60, 60, 20, 0, 0]]","[[60, 60, 20, 20, 0]]","[[100, 100, 60, 20, 20]]","[[0, 0, 0, 0, 0]]","[[100, 0, 0, 0, 0]]"
,white_females,black_females,indian_females,asian_females,black_males,indian_males,white_males,asian_males,Caucasian,Indian,African,Asian,Black_Females,White_Females,Asian_Females,White_Males,Black_Males,Asian_Males,Females,Males
DP1,"[[0, 0, 0, 0, 0]]","[[14, 14, 0, 0, 0]]","[[14, 14, 0, 0, 0]]","[[29, 14, 0, 0, 0]]","[[57, 57, 57, 57, 57]]","[[57, 57, 57, 57, 57]]","[[86, 57, 57, 57, 57]]","[[100, 86, 57, 57, 57]]","[[0, 0, 0, 0, 0]]","[[33, 0, 0, 0, 0]]","[[67, 33, 0, 0, 0]]","[[100, 67, 33, 0, 0]]","[[0, 0, 0, 0, 0]]","[[20, 20, 0, 0, 0]]","[[40, 40, 20, 20, 0]]","[[60, 60, 60, 60, 40]]","[[60, 60, 60, 60, 40]]","[[100, 100, 60, 60, 60]]","[[0, 0, 0, 0, 0]]","[[100, 100, 100, 100, 0]]"
,indian_females,black_females,asian_females,black_males,white_females,asian_males,white_males,indian_males,African,Caucasian,Indian,Asian,Black_Females,White_Females,Asian_Females,White_Males,Black_Males,Asian_Males,Females,Males
DP2,"[[0, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[14, 0, 0, 0, 0]]","[[43, 14, 0, 0, 0]]","[[57, 57, 29, 0, 0]]","[[71, 71, 57, 43, 0]]","[[86, 71, 71, 57, 14]]","[[100, 86, 71, 57, 43]]","[[0, 0, 0, 0, 0]]","[[33, 33, 33, 33, 0]]","[[33, 33, 33, 33, 0]]","[[67, 33, 33, 33, 0]]","[[0, 0, 0, 0, 0]]","[[20, 20, 0, 0, 0]]","[[40, 40, 20, 0, 0]]","[[60, 60, 60, 60, 40]]","[[80, 80, 60, 60, 60]]","[[100, 80, 60, 60, 60]]","[[0, 0, 0, 0, 0]]","[[100, 100, 100, 100, 100]]"
race
,BFW,,,,,,,,RFW,,,,DemogPairs,,,,,,CelebA,
