""
gender
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,"[89, 82, 54, 32, 18]","[100, 83, 67, 50, 33]","[87, 87, 60, 47, 40]","[0, 0, 0, 0, 0]","[[69.0, 63.0, 45.0, 32.0, 23.0]]"
DP1,"[96, 89, 71, 68, 61]","[83, 83, 83, 17, 17]","[93, 93, 87, 60, 47]","[100, 100, 100, 0, 0]","[[93.0, 91.0, 85.0, 36.0, 31.0]]"
DP2,"[93, 79, 71, 68, 57]","[83, 83, 83, 17, 17]","[100, 87, 80, 60, 53]","[100, 100, 100, 0, 0]","[[94.0, 87.0, 84.0, 36.0, 32.0]]"
mean,"[[93.0, 83.0, 65.0, 56.0, 45.0]]","[[89.0, 83.0, 78.0, 28.0, 22.0]]","[[93.0, 89.0, 76.0, 56.0, 47.0]]","[[67.0, 67.0, 67.0, 0.0, 0.0]]"
emotion
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,"[89, 75, 50, 46, 39]","[100, 83, 33, 17, 0]","[87, 87, 33, 13, 7]","[100, 0, 0, 0, 0]","[[94.0, 61.0, 29.0, 19.0, 12.0]]"
DP1,"[89, 75, 57, 57, 57]","[100, 50, 17, 0, 0]","[93, 93, 67, 67, 47]","[100, 100, 100, 100, 0]","[[96.0, 80.0, 60.0, 56.0, 26.0]]"
DP2,"[96, 75, 57, 39, 14]","[67, 50, 50, 50, 0]","[100, 93, 67, 60, 53]","[100, 100, 100, 100, 100]","[[91.0, 80.0, 68.0, 62.0, 42.0]]"
mean,"[[91.0, 75.0, 55.0, 47.0, 37.0]]","[[89.0, 61.0, 33.0, 22.0, 0.0]]","[[93.0, 91.0, 56.0, 47.0, 36.0]]","[[100.0, 67.0, 67.0, 67.0, 33.0]]"
race
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,"[100, 96, 96, 89, 89]","[100, 100, 100, 100, 100]","[100, 100, 93, 93, 87]","[100, 100, 100, 100, 100]","[[100.0, 99.0, 97.0, 96.0, 94.0]]"
DP1,"[100, 96, 93, 86, 79]","[100, 100, 83, 83, 67]","[100, 100, 93, 93, 73]","[100, 100, 100, 0, 0]","[[100.0, 99.0, 92.0, 66.0, 55.0]]"
DP2,"[100, 100, 96, 89, 86]","[100, 100, 100, 100, 83]","[93, 93, 93, 87, 73]","[100, 100, 0, 0, 0]","[[98.0, 98.0, 72.0, 69.0, 60.0]]"
mean,"[[100.0, 97.0, 95.0, 88.0, 85.0]]","[[100.0, 100.0, 94.0, 94.0, 83.0]]","[[98.0, 98.0, 93.0, 91.0, 78.0]]","[[100.0, 100.0, 67.0, 33.0, 33.0]]"
age
,BFW,RFW,DemogPairs,CelebA,mean
CIAGAN,"[86, 46, 11, 0, 0]","[83, 33, 0, 0, 0]","[67, 20, 0, 0, 0]","[100, 0, 0, 0, 0]","[[84.0, 25.0, 3.0, 0.0, 0.0]]"
DP1,"[68, 36, 0, 0, 0]","[0, 0, 0, 0, 0]","[60, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[[57.0, 9.0, 0.0, 0.0, 0.0]]"
DP2,"[64, 14, 0, 0, 0]","[17, 0, 0, 0, 0]","[60, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[[60.0, 4.0, 0.0, 0.0, 0.0]]"
mean,"[[73.0, 32.0, 4.0, 0.0, 0.0]]","[[33.0, 11.0, 0.0, 0.0, 0.0]]","[[62.0, 7.0, 0.0, 0.0, 0.0]]","[[100.0, 0.0, 0.0, 0.0, 0.0]]"
