""
Original,BFW,RFW,DemogPairs,CelebA,mean
opencv,"[93, 68, 46, 32, 25]","[83, 50, 50, 50, 50]","[87, 80, 60, 40, 33]","[100, 0, 0, 0, 0]","[[91.0, 50.0, 39.0, 30.0, 27.0]]"
ssd,"[100, 96, 96, 93, 89]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[25.0, 24.0, 24.0, 23.0, 22.0]]"
dlib,"[86, 54, 14, 4, 0]","[50, 50, 0, 0, 0]","[73, 40, 7, 0, 0]","[0, 0, 0, 0, 0]","[[52.0, 36.0, 5.0, 1.0, 0.0]]"
retinaface,"[96, 89, 71, 61, 32]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[24.0, 22.0, 18.0, 15.0, 8.0]]"
mtcnn,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
mean,"[[75.0, 61.0, 45.0, 38.0, 29.0]]","[[27.0, 20.0, 10.0, 10.0, 10.0]]","[[32.0, 24.0, 13.0, 8.0, 7.0]]","[[20.0, 0.0, 0.0, 0.0, 0.0]]"

CIAGAN,BFW,RFW,DemogPairs,CelebA,mean
opencv,"[75, 57, 21, 7, 0]","[83, 83, 50, 33, 17]","[80, 53, 27, 0, 0]","[0, 0, 0, 0, 0]","[[60.0, 48.0, 24.0, 10.0, 4.0]]"
ssd,"[21, 0, 0, 0, 0]","[67, 0, 0, 0, 0]","[20, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[27.0, 0.0, 0.0, 0.0, 0.0]]"
retinaface,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
dlib,"[61, 18, 0, 0, 0]","[50, 50, 0, 0, 0]","[53, 33, 0, 0, 0]","[0, 0, 0, 0, 0]","[[41.0, 25.0, 0.0, 0.0, 0.0]]"
mtcnn,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
mean,"[[31.0, 15.0, 4.0, 1.0, 0.0]]","[[40.0, 27.0, 10.0, 7.0, 3.0]]","[[31.0, 17.0, 5.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"

DP1,BFW,RFW,DemogPairs,CelebA,mean
opencv,"[93, 86, 75, 57, 43]","[50, 50, 50, 0, 0]","[73, 60, 33, 33, 13]","[100, 0, 0, 0, 0]","[[79.0, 49.0, 40.0, 22.0, 14.0]]"
ssd,"[96, 93, 79, 61, 50]","[0, 0, 0, 0, 0]","[27, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[31.0, 23.0, 20.0, 15.0, 12.0]]"
retinaface,"[79, 75, 29, 18, 4]","[0, 0, 0, 0, 0]","[13, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[23.0, 19.0, 7.0, 4.0, 1.0]]"
dlib,"[89, 79, 79, 50, 43]","[50, 17, 0, 0, 0]","[87, 47, 7, 0, 0]","[0, 0, 0, 0, 0]","[[56.0, 36.0, 22.0, 12.0, 11.0]]"
mtcnn,"[86, 54, 25, 14, 4]","[0, 0, 0, 0, 0]","[7, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[[23.0, 14.0, 6.0, 4.0, 1.0]]"
