""
all
,DemogPairs,BFW
Original,"[93, 67, 40, 13, 0]","[82, 64, 32, 7, 0]"
CIAGAN,"[60, 27, 0, 0, 0]","[50, 0, 0, 0, 0]"
DP1,"[67, 20, 0, 0, 0]","[4, 0, 0, 0, 0]"
DP2,"[60, 27, 0, 0, 0]","[0, 0, 0, 0, 0]"
Fawkes-High,"[100, 93, 93, 93, 73]","[96, 96, 86, 79, 71]"
DP-Snow,"[87, 67, 20, 13, 0]","[89, 57, 29, 7, 0]"
Pixelation,"[0, 0, 0, 0, 0]","[21, 0, 0, 0, 0]"
K-Same-Pixel-ArcFace,"[13, 0, 0, 0, 0]","[46, 4, 0, 0, 0]"
means,[60 38 19 15  9],[48 28 18 12  9]
each
,DemogPairs,BFW
Original,"[87, 60, 33, 33, 13]","[82, 64, 29, 7, 0]"
CIAGAN,"[73, 33, 0, 0, 0]","[79, 43, 14, 0, 0]"
DP1,"[73, 47, 13, 0, 0]","[29, 0, 0, 0, 0]"
DP2,"[73, 33, 0, 0, 0]","[46, 0, 0, 0, 0]"
Fawkes-High,"[93, 93, 93, 93, 80]","[96, 96, 89, 86, 75]"
DP-Snow,"[73, 40, 33, 27, 0]","[93, 61, 32, 11, 0]"
Pixelation,"[60, 20, 0, 0, 0]","[29, 0, 0, 0, 0]"
K-Same-Pixel-ArcFace,"[13, 0, 0, 0, 0]","[54, 4, 0, 0, 0]"
means,[68 41 22 19 12],[64 34 20 13  9]
