all,,,,,,,,,,,,,,
,DemogPairs,,,,,,BFW,,,,,,,
,Asian_Females,Asian_Males,Black_Males,Black_Females,White_Females,White_Males,asian_females,asian_males,black_males,indian_females,black_females,indian_males,white_males,white_females
Original,"[[1.0, 0.8, 0.8, 0.4, 0.0]]","[[0.8, 0.8, 0.4, 0.0, 0.0]]","[[0.6, 0.4, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.7, 0.7, 0.3, 0.0]]","[[0.7, 0.7, 0.3, 0.0, 0.0]]","[[0.7, 0.7, 0.3, 0.0, 0.0]]","[[0.3, 0.3, 0.0, 0.0, 0.0]]","[[0.3, 0.1, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,Asian_Females,Black_Females,Black_Males,White_Females,Asian_Males,White_Males,black_males,asian_females,asian_males,indian_females,indian_males,black_females,white_females,white_males
CIAGAN,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.2, 0.0, 0.0, 0.0]]","[[1.0, 0.6, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.3, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]"
,Asian_Females,Asian_Males,White_Females,Black_Males,Black_Females,White_Males,indian_males,asian_females,indian_females,asian_males,black_females,white_females,black_males,white_males
DP1,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[0.6, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.6, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.0, 0.0, 0.0, 0.0]]"
,Asian_Females,Black_Females,White_Females,Asian_Males,Black_Males,White_Males,black_females,asian_females,indian_females,indian_males,white_males,black_males,white_females,asian_males
DP2,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.0, 0.0, 0.0, 0.0]]","[[0.4, 0.0, 0.0, 0.0, 0.0]]","[[1.0, 0.8, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]"
,White_Females,Asian_Females,White_Males,Black_Females,Black_Males,Asian_Males,asian_females,asian_males,indian_females,black_males,black_females,white_females,white_males,indian_males
Fawkes-High,"[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.2, 0.2, 0.2, 0.2, 0.0]]","[[0.4, 0.4, 0.4, 0.4, 0.2]]","[[0.6, 0.4, 0.4, 0.4, 0.4]]","[[0.8, 0.8, 0.8, 0.8, 0.8]]","[[1.0, 1.0, 1.0, 1.0, 0.8]]","[[0.0, 0.0, 0.0, 0.0, 0.0]]","[[0.1, 0.1, 0.1, 0.1, 0.1]]","[[0.3, 0.3, 0.1, 0.1, 0.1]]","[[0.4, 0.4, 0.4, 0.3, 0.1]]","[[0.6, 0.6, 0.4, 0.4, 0.3]]","[[0.7, 0.7, 0.6, 0.4, 0.4]]","[[0.9, 0.9, 0.9, 0.9, 0.9]]","[[0.9, 0.9, 0.9, 0.9, 0.9]]"
,Asian_Females,Asian_Males,Black_Males,White_Females,Black_Females,White_Males,asian_females,black_males,indian_females,asian_males,white_females,black_females,indian_males,white_males
