""
pairs
,BFW,DemogPairs,,,mean
Original,"[50, 11, 0, 0, 0]","[87, 47, 13, 0, 0]",,,"[[68.0, 29.0, 6.0, 0.0, 0.0]]"
CIAGAN,"[100, 96, 93, 82, 71]","[93, 93, 80, 60, 53]",,,"[[96.0, 94.0, 86.0, 71.0, 62.0]]"
DP1,"[57, 11, 0, 0, 0]","[87, 87, 60, 40, 13]",,,"[[72.0, 49.0, 30.0, 20.0, 6.0]]"
DP2,"[71, 54, 11, 0, 0]","[93, 80, 53, 33, 13]",,,"[[82.0, 67.0, 32.0, 16.0, 6.0]]"
Fawkes-High,"[100, 100, 89, 89, 86]","[93, 93, 73, 73, 73]",,,"[[96.0, 96.0, 81.0, 81.0, 80.0]]"
DP-Snow,"[96, 75, 50, 25, 7]","[100, 93, 67, 33, 20]",,,"[[98.0, 84.0, 58.0, 29.0, 14.0]]"
Pixelation,"[61, 18, 0, 0, 0]","[67, 40, 13, 0, 0]",,,"[[64.0, 29.0, 6.0, 0.0, 0.0]]"
K-Same-Pixel-ArcFace,"[96, 96, 96, 86, 71]","[87, 80, 67, 53, 40]",,,"[[92.0, 88.0, 82.0, 70.0, 56.0]]"
mean,"[[79.0, 58.0, 42.0, 35.0, 29.0]]","[[88.0, 77.0, 53.0, 36.0, 26.0]]"
race
,BFW,DemogPairs,RFW,,mean
Original,"[50, 0, 0, 0, 0]","[100, 67, 0, 0, 0]","[100, 67, 50, 50, 17]",,"[[83.0, 45.0, 17.0, 17.0, 6.0]]"
CIAGAN,"[100, 100, 100, 100, 83]","[100, 100, 100, 83, 67]","[100, 100, 100, 100, 67]",,"[[100.0, 100.0, 100.0, 94.0, 72.0]]"
DP1,"[0, 0, 0, 0, 0]","[67, 0, 0, 0, 0]","[100, 67, 67, 33, 0]",,"[[56.0, 22.0, 22.0, 11.0, 0.0]]"
DP2,"[83, 17, 0, 0, 0]","[83, 17, 0, 0, 0]","[100, 67, 67, 33, 0]",,"[[89.0, 34.0, 22.0, 11.0, 0.0]]"
Fawkes-High,"[100, 100, 100, 100, 83]","[100, 67, 67, 67, 67]",,,"[[100.0, 84.0, 84.0, 84.0, 75.0]]"
DP-Snow,"[100, 83, 33, 0, 0]","[67, 67, 67, 0, 0]",,,"[[84.0, 75.0, 50.0, 0.0, 0.0]]"
Pixelation,"[50, 0, 0, 0, 0]","[67, 0, 0, 0, 0]",,,"[[58.0, 0.0, 0.0, 0.0, 0.0]]"
K-Same-Pixel-ArcFace,"[100, 100, 83, 67, 67]","[100, 100, 67, 67, 33]",,,"[[100.0, 100.0, 75.0, 67.0, 50.0]]"
mean,"[[73.0, 50.0, 40.0, 33.0, 29.0]]","[[92.0, 67.0, 54.0, 38.0, 21.0]]"
gender
,BFW,DemogPairs,CelebA,,mean
Original,"[0, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[100, 0, 0, 0, 0]",,"[[67.0, 0.0, 0.0, 0.0, 0.0]]"
CIAGAN,"[100, 100, 100, 100, 100]","[100, 100, 100, 100, 100]","[100, 100, 100, 100, 100]",,"[[100.0, 100.0, 100.0, 100.0, 100.0]]"
DP1,"[100, 0, 0, 0, 0]","[100, 100, 0, 0, 0]","[100, 100, 100, 0, 0]",,"[[100.0, 67.0, 33.0, 0.0, 0.0]]"
DP2,"[100, 100, 0, 0, 0]","[100, 100, 0, 0, 0]","[100, 100, 100, 0, 0]",,"[[100.0, 100.0, 33.0, 0.0, 0.0]]"
Fawkes-High,"[100, 100, 100, 100, 100]","[100, 100, 100, 100, 100]",,,"[[100.0, 100.0, 100.0, 100.0, 100.0]]"
DP-Snow,"[0, 0, 0, 0, 0]","[100, 100, 0, 0, 0]",,,"[[50.0, 50.0, 0.0, 0.0, 0.0]]"
Pixelation,"[100, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,"[[50.0, 0.0, 0.0, 0.0, 0.0]]"
K-Same-Pixel-ArcFace,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",,,"[[0.0, 0.0, 0.0, 0.0, 0.0]]"
mean,"[[62.0, 38.0, 25.0, 25.0, 25.0]]","[[75.0, 62.0, 25.0, 25.0, 25.0]]"
