total means:
Original
,BFW,DemogPairs,RFW,CelebA
VGG-Face,53.9,51.1,50.4,54.1
Facenet,84.2,80.4,72.3,89.8
OpenFace,25.6,23.0,14.4,33.5
Dlib,73.3,65.8,55.1,83.2
ArcFace,85.8,80.5,70.3,89.9
DeepFace,4.9,6.2,5.8,15.8
DeepID,12.5,9.5,4.9,20.7
mean,48.6,45.2,39.0,55.3
""
CIAGAN
,BFW,DemogPairs,RFW,CelebA
VGG-Face,96.5,95.9,96.5,93.3
Facenet,84.2,81.7,86.1,75.0
OpenFace,78.5,78.3,81.6,66.1
DeepID,70.6,68.9,69.1,47.1
Dlib,77.4,75.6,84.6,58.5
ArcFace,46.0,48.9,48.6,31.3
DeepFace,70.6,74.5,73.3,57.3
mean,74.8,74.8,77.1,61.2
""
DP1
,BFW,DemogPairs,RFW,CelebA
VGG-Face,94.2,76.4,69.8,78.6
Facenet,84.3,58.3,56.8,53.8
OpenFace,89.2,66.8,75.9,56.0
DeepID,79.9,61.9,70.8,34.0
Dlib,92.4,67.2,72.6,55.8
ArcFace,88.6,68.3,65.9,68.2
DeepFace,95.9,67.5,77.6,57.9
mean,89.2,66.6,69.9,57.8
""
DP2
,BFW,DemogPairs,RFW,CelebA
VGG-Face,88.5,79.3,76.2,85.3
Facenet,75.6,63.9,62.5,58.6
OpenFace,86.4,68.6,79.6,57.4
DeepID,60.6,51.1,70.9,31.8
Dlib,86.0,64.5,73.4,47.7
ArcFace,83.0,71.1,72.5,75.8
DeepFace,92.1,70.2,79.8,55.3
mean,81.8,66.9,73.5,58.8
""
Fawkes-High
,BFW,DemogPairs
ArcFace,1.1,3.9
""
DP-Snow
,BFW,DemogPairs
ArcFace,64.8,48.2
""
Pixelation
,BFW,DemogPairs
ArcFace,93.7,91.6
""
K-Same-Pixel-ArcFace
,BFW,DemogPairs
ArcFace,27.2,78.6
""
